review_body,clean,sentiment
i was looking for a kindle whitepaper i saw online for  what a deal i ordered it on line and picked it up in the store i got it home and couldnt adjust the brightness after a lengthy time with online customer service i called customer service after  minuets with speaking to a female elmer fud that doesnt speak english well i figured i would just return it although it looks identical to the  model you can not adjust the brightness that would have been good information before i bought it,"['look', 'kindle', 'whitepaper', 'saw', 'online', 'deal', 'order', 'line', 'pick', 'store', 'get', 'home', 'couldnt', 'adjust', 'brightness', 'lengthy', 'time', 'online', 'customer', 'service', 'call', 'customer', 'service', 'minuet', 'speak', 'female', 'elmer', 'fud', 'doesnt', 'speak', 'english', 'well', 'figure', 'would', 'return', 'although', 'looks', 'identical', 'model', 'adjust', 'brightness', 'would', 'good', 'information', 'buy']",Negative
this is a nice barebones reading device easy to set up and use my greatest issue is that it isnt back lit so it cant be used wo a light on in the room returning it an purchasing a paperwhite instead,"['nice', 'barebones', 'read', 'device', 'easy', 'set', 'use', 'great', 'issue', 'isnt', 'back', 'lit', 'cant', 'use', 'wo', 'light', 'room', 'return', 'purchase', 'paperwhite', 'instead']",Positive
easy to use and navigate purchasing books is fast and simple and i love the fact that i can password protect this device,"['easy', 'use', 'navigate', 'purchasing', 'book', 'fast', 'simple', 'love', 'fact', 'password', 'protect', 'device']",Positive
the amazon kindle is light weight and easy to use,"['amazon', 'kindle', 'light', 'weight', 'easy', 'use']",Positive
i love hear readers i had to replace mine because i destroyed the last but it is awesome,"['love', 'hear', 'reader', 'replace', 'mine', 'destroy', 'last', 'awesome']",Positive
love the simplicity also love that i use it for reading only and cant download distracting apps,"['love', 'simplicity', 'also', 'love', 'use', 'reading', 'cant', 'download', 'distract', 'apps']",Positive
my husband loves this kindle he has a muscular disease keeping him from being able to handle anything with much weight at all this is perfect,"['husband', 'love', 'kindle', 'muscular', 'disease', 'keep', 'able', 'handle', 'anything', 'much', 'weight', 'perfect']",Positive
ive wanted a kindle for a while and decided to get it when bb put it on sale i am not disappointed,"['ive', 'want', 'kindle', 'decide', 'get', 'bb', 'put', 'sale', 'disappoint']",Positive
i have several kindles so knew what to expect it is a great reading device and i keep several in different locations,"['several', 'kindles', 'know', 'expect', 'great', 'reading', 'device', 'keep', 'several', 'different', 'location']",Positive
i like this e reader but wish the screen were higher resolution it requires decent light to look good but it is easy on my eyes the screen updates involve flashing the whole screen which i noticed less over time the advertised month long battery life is just standby time it lasts much less if you are downloading and reading books,"['like', 'e', 'reader', 'wish', 'screen', 'high', 'resolution', 'require', 'decent', 'light', 'look', 'good', 'easy', 'eye', 'screen', 'update', 'involve', 'flash', 'whole', 'screen', 'notice', 'less', 'time', 'advertise', 'month', 'long', 'battery', 'life', 'standby', 'time', 'last', 'much', 'less', 'download', 'reading', 'book']",Positive
my fiancée really enjoyes it i would definitely recommend,"['fiancée', 'really', 'enjoyes', 'would', 'definitely', 'recommend']",Positive
simple great buy for your money if you are an avid reader,"['simple', 'great', 'buy', 'money', 'avid', 'reader']",Positive
i like the changes that have been made since my current  year old unit was purchased,"['like', 'change', 'make', 'since', 'current', 'year', 'old', 'unit', 'purchase']",Positive
fits nicely in your hand and its touchable increase the size of the fonts,"['fit', 'nicely', 'hand', 'touchable', 'increase', 'size', 'font']",Positive
great buy do a lot of reading and he no glear screen is awesome while in the sun,"['great', 'buy', 'lot', 'read', 'glear', 'screen', 'awesome', 'sun']",Positive
i lie the size and weight for the kindlemakes it very convenient to take large books with me in digital format,"['lie', 'size', 'weight', 'kindlemakes', 'convenient', 'take', 'large', 'book', 'digital', 'format']",Positive
great price and works great for book reading would recommend,"['great', 'price', 'work', 'great', 'book', 'read', 'would', 'recommend']",Positive
got it when it was on sale totally fall in love with it bring with it me everywhere,"['get', 'sale', 'totally', 'fall', 'love', 'bring', 'everywhere']",Positive
i never used kindle before my wife gifted me on my birthday this is the amazing product i am using it for daily reading the display is fantastic and no strain on eyes,"['never', 'use', 'kindle', 'wife', 'gift', 'birthday', 'amazing', 'product', 'use', 'daily', 'reading', 'display', 'fantastic', 'strain', 'eye']",Positive
i bought this with paper white and didn⊙t see much of a difference in terms of resolution and use i totally recommend this reader as it⊙s so small and powerful,"['bought', 'paper', 'white', 'didn⊙t', 'see', 'much', 'difference', 'term', 'resolution', 'use', 'totally', 'recommend', 'reader', 'it⊙s', 'small', 'powerful']",Positive
the sales people are really nice and knowledgeable to me i will come back again,"['sale', 'people', 'really', 'nice', 'knowledgeable', 'come', 'back']",Positive
im a longtime kindle user and jumped at the opportunity to bring my granddaughter into the fold with this gift she loved it,"['im', 'longtime', 'kindle', 'user', 'jump', 'opportunity', 'bring', 'granddaughter', 'fold', 'gift', 'love']",Positive
overall good product does what is advertised comfortable to use,"['overall', 'good', 'product', 'advertise', 'comfortable', 'use']",Positive
the kindle has come in very handy lately i always have a book to read and this is great to just grab on the go battery life is great only drawback is no backlight,"['kindle', 'come', 'handy', 'lately', 'always', 'book', 'read', 'great', 'grab', 'go', 'battery', 'life', 'great', 'drawback', 'backlight']",Positive
i am loving my new kindle i have wanted one for a while and finally bought one and even though it was the cheapest one it has exceeded my expectations i love how there is no glare,"['love', 'new', 'kindle', 'want', 'one', 'finally', 'buy', 'one', 'even', 'though', 'cheap', 'one', 'exceed', 'expectation', 'love', 'glare']",Positive
i already has an older version of the kindle but this one is even better i love the touch screen and the ability to scroll without buttons,"['already', 'old', 'version', 'kindle', 'one', 'even', 'well', 'love', 'touch', 'screen', 'ability', 'scroll', 'without', 'button']",Positive
bought this for my  yearold totally notech mom her first ebook is gone with the wind she likes the size and ease of use,"['buy', 'yearold', 'totally', 'notech', 'mom', 'first', 'ebook', 'go', 'wind', 'like', 'size', 'ease', 'use']",Positive
amazon kindle products have always been reliable consistent quality and this is no different very happy with it,"['amazon', 'kindle', 'product', 'always', 'reliable', 'consistent', 'quality', 'different', 'happy']",Positive
working well and very cheap if we think in the price way,"['work', 'well', 'cheap', 'think', 'price', 'way']",Positive
the battery doesnt last as long as was advertised if you have the money i would recommend the backlit model,"['battery', 'doesnt', 'last', 'long', 'advertised', 'money', 'would', 'recommend', 'backlit', 'model']",Positive
this kindle doesnt have a lighted screen like the pricier models but it has a higher dpi screen than the lower model its exactly what i needed nothing more nothing less ive had no problems with the reader at all so far so ill give it  stars,"['kindle', 'doesnt', 'light', 'screen', 'like', 'pricy', 'model', 'higher', 'dpi', 'screen', 'low', 'model', 'exactly', 'need', 'nothing', 'nothing', 'less', 'ive', 'problem', 'reader', 'far', 'ill', 'give', 'star']",Positive
the kindle is good to download apps for books catch up with reading,"['kindle', 'good', 'download', 'apps', 'book', 'catch', 'reading']",Neutral
after the first one stopped working after only  weeksbest buy replaced it with no fuss and its going great small lightweight so fits in a pursehandbag and with the antiglare screen you can read in direct sunlight,"['first', 'one', 'stop', 'work', 'weeksbest', 'buy', 'replace', 'fuss', 'go', 'great', 'small', 'lightweight', 'fit', 'pursehandbag', 'antiglare', 'screen', 'read', 'direct', 'sunlight']",Positive
i bought this kindle paperwhite for my son to use at school instead of his more expensive and delicate tablet the display options make it adaptable for just about anyone and is much easier on the eyes when reading for an extended period of time please keep in mind that this does not have a glowlight the kindle is durable and although i bought a case for it a case really isnt necessary if you are relatively careful with it the most surprising thing about this has been the extra long battery life my son is an avid reader and noticed that he needs to charge his kindle considerably less than when he uses his tablet,"['buy', 'kindle', 'paperwhite', 'son', 'use', 'school', 'instead', 'expensive', 'delicate', 'tablet', 'display', 'option', 'make', 'adaptable', 'anyone', 'much', 'easy', 'eye', 'read', 'extended', 'period', 'time', 'please', 'keep', 'mind', 'glowlight', 'kindle', 'durable', 'although', 'bought', 'case', 'case', 'really', 'isnt', 'necessary', 'relatively', 'careful', 'surprising', 'thing', 'extra', 'long', 'battery', 'life', 'son', 'avid', 'reader', 'notice', 'need', 'charge', 'kindle', 'considerably', 'less', 'uses', 'tablet']",Positive
great item easy to usewould recommend to anybody want to use,"['great', 'item', 'easy', 'usewould', 'recommend', 'anybody', 'want', 'use']",Positive
i bought this as a gift to my dad and he loves it well worth if you dont plan on reading in dark,"['buy', 'gift', 'dad', 'love', 'well', 'worth', 'dont', 'plan', 'read', 'dark']",Positive
the future of reading you just have this and it is like a whole library,"['future', 'read', 'like', 'whole', 'library']",Positive
i bought this for my daughter wanting to get her a kindle without having access to games like with the kindle fire this latest version of the kindle is excellent i am jealous of my daughter and now am thinking about upgrading from my older kindle the touchscreen is responsive if you like reading on the kindle it is worth the update,"['buy', 'daughter', 'want', 'get', 'kindle', 'without', 'access', 'game', 'like', 'kindle', 'fire', 'late', 'version', 'kindle', 'excellent', 'jealous', 'daughter', 'think', 'upgrading', 'old', 'kindle', 'touchscreen', 'responsive', 'like', 'read', 'kindle', 'worth', 'update']",Positive
this is a great way to read books on the go theres no backlight so reading in darker rooms may be hard but its affordable and portable and a great way to take all your books with you,"['great', 'way', 'read', 'book', 'go', 'there', 'backlight', 'read', 'darker', 'room', 'may', 'hard', 'affordable', 'portable', 'great', 'way', 'take', 'book']",Positive
i love the kindle it is a great product it reduces eye strain so i enjoy reading on it this is my second kindle,"['love', 'kindle', 'great', 'product', 'reduces', 'eye', 'strain', 'enjoy', 'read', 'second', 'kindle']",Positive
i bought this as a backup i am currently using the same headphone,"['buy', 'backup', 'currently', 'use', 'headphone']",Positive
we got the kindle for our daughter who accompanied us to try out the two kindle models we were willing to buy either one and we assumed she would want the more expensive one with the backlighting feature but as she tried both she gravitated with certainty toward the basic model why would u want to read in the dark she said as the weeks and months have gone by she says shes completely happy with the basic kindle its exactly what she wanted perfect,"['get', 'kindle', 'daughter', 'accompany', 'u', 'try', 'two', 'kindle', 'model', 'willing', 'buy', 'either', 'one', 'assume', 'would', 'want', 'expensive', 'one', 'backlighting', 'feature', 'try', 'gravitated', 'certainty', 'toward', 'basic', 'model', 'would', 'u', 'want', 'read', 'dark', 'say', 'week', 'month', 'go', 'say', 'shes', 'completely', 'happy', 'basic', 'kindle', 'exactly', 'want', 'perfect']",Positive
good able to read under bright sunlight conditions too,"['good', 'able', 'read', 'bright', 'sunlight', 'condition']",Positive
very easy to handle many books to choose from and very convenient,"['easy', 'handle', 'many', 'book', 'choose', 'convenient']",Positive
i purchased this product because i love to read and buying books got costly with this product i can read all i want for  a month,"['purchase', 'product', 'love', 'read', 'buy', 'book', 'get', 'costly', 'product', 'read', 'want', 'month']",Positive
it is smaller than i thought but it gets the job done,"['small', 'thought', 'get', 'job', 'do']",Positive
love my new kindle i hadnt read in a while and hesitant of a kindle easy to use lightweight and convenient to pick up a book great for outdoor reading only downside is if you want to read in the dark has no back light crisp clear text and easy to set up,"['love', 'new', 'kindle', 'hadnt', 'read', 'hesitant', 'kindle', 'easy', 'use', 'lightweight', 'convenient', 'pick', 'book', 'great', 'outdoor', 'read', 'downside', 'want', 'read', 'dark', 'back', 'light', 'crisp', 'clear', 'text', 'easy', 'set']",Positive
product is good light amazing battery backup i charge the kindle one in  weeks great product for reasonable price usb connection is easy books are easy to download overall everyone must have kindle with them and this is the best productmodel to start withunderstandably this is the beginner level model for people who never used kindle before features like led lights white paper background are not available on this model these features are there on higher models so one cannot read it in dark without lights but again for this price you would not get any other good readersif you are someone who reads in dark then i would suggest go for higher kindle models,"['product', 'good', 'light', 'amaze', 'battery', 'backup', 'charge', 'kindle', 'one', 'week', 'great', 'product', 'reasonable', 'price', 'usb', 'connection', 'easy', 'book', 'easy', 'download', 'overall', 'everyone', 'must', 'kindle', 'best', 'productmodel', 'start', 'withunderstandably', 'beginner', 'level', 'model', 'people', 'never', 'use', 'kindle', 'feature', 'like', 'lead', 'light', 'white', 'paper', 'background', 'available', 'model', 'feature', 'high', 'model', 'one', 'can', 'not', 'read', 'dark', 'without', 'light', 'price', 'would', 'get', 'good', 'readersif', 'someone', 'read', 'dark', 'would', 'suggest', 'go', 'higher', 'kindle', 'model']",Positive
kindle is the perfect ereader easy to use and size is perfect to bring book on the go,"['kindle', 'perfect', 'ereader', 'easy', 'use', 'size', 'perfect', 'bring', 'book', 'go']",Positive
easy to use and it arrived exactly as described good beginner device for youngsters who want a device to read from,"['easy', 'use', 'arrive', 'exactly', 'describe', 'good', 'beginner', 'device', 'youngster', 'want', 'device', 'read']",Positive
looking at the picture and seeing it was  generation i assumed it would be a great device i had an original kindle but i stopped using it because it wasnt backlit i thought an  generation would be backlit and the picture makes it look backlit but it is not after  minutes on the phone with amazon trying to make it brighter the technician finally realized that  generation is not supported with backlights i took it back to target and purchased the paperwhite which was more money but definitely worth it the  generation one is smaller so i assumed that was the reason for the price difference target made the experience pleasant,"['look', 'picture', 'see', 'generation', 'assume', 'would', 'great', 'device', 'original', 'kindle', 'stop', 'use', 'wasnt', 'backlit', 'think', 'generation', 'would', 'backlit', 'picture', 'make', 'look', 'backlit', 'minute', 'phone', 'amazon', 'try', 'make', 'brighter', 'technician', 'finally', 'realize', 'generation', 'support', 'backlights', 'take', 'back', 'target', 'purchase', 'paperwhite', 'money', 'definitely', 'worth', 'generation', 'one', 'small', 'assume', 'reason', 'price', 'difference', 'target', 'make', 'experience', 'pleasant']",Negative
my fiance really enjoyes it i would definitely recommend,"['fiance', 'really', 'enjoyes', 'would', 'definitely', 'recommend']",Positive
for me the kindle black was not a good fit for me there are times i read at night in bed when my husband is sleeping this model doesnt have a back light so im unable to read at night without turning on a light and waking up my husbandso i returned and went for a kindle fire,"['kindle', 'black', 'good', 'fit', 'time', 'read', 'night', 'bed', 'husband', 'sleep', 'model', 'doesnt', 'back', 'light', 'im', 'unable', 'read', 'night', 'without', 'turn', 'light', 'wake', 'husbandso', 'return', 'go', 'kindle', 'fire']",Neutral
it is still the best device for buying books and reading them however go with kindle paperwhite if you read books in dark places,"['still', 'best', 'device', 'buying', 'book', 'read', 'however', 'go', 'kindle', 'paperwhite', 'read', 'book', 'dark', 'place']",Positive
great product and service and the sales man r really nice,"['great', 'product', 'service', 'sale', 'man', 'r', 'really', 'nice']",Positive
when you first turn on the kindle the home screen does not make it easy to determine exactly how to open up and read a downloaded book,"['first', 'turn', 'kindle', 'home', 'screen', 'make', 'easy', 'determine', 'exactly', 'open', 'read', 'download', 'book']",Positive
my wife loves it replaces a kindle from like ,"['wife', 'love', 'replace', 'kindle', 'like']",Positive
its small light and easy to read from i just wish i would have spent the extra  bucks and got the paperwhite the more i use this one the more i wish i had the option of a backlight if youre on the fence as i was go with the paperwhite however if the backlight is not an issue this device is great and i would recommend it,"['small', 'light', 'easy', 'read', 'wish', 'would', 'spend', 'extra', 'buck', 'get', 'paperwhite', 'use', 'one', 'wish', 'option', 'backlight', 'youre', 'fence', 'go', 'paperwhite', 'however', 'backlight', 'issue', 'device', 'great', 'would', 'recommend']",Positive
this device is good for entry level reader only in daylightits doesnot support reading in dark to read in dark you will have to purchase a light or cover case with light attached i either case it will put a lot of strain in your eyes,"['device', 'good', 'entry', 'level', 'reader', 'daylightits', 'doesnot', 'support', 'read', 'dark', 'read', 'dark', 'purchase', 'light', 'cover', 'case', 'light', 'attach', 'either', 'case', 'put', 'lot', 'strain', 'eye']",Neutral
i love my new kindle the size is perfect it fits right in my purse easy to navigate and i love the touch screen i am able to read outside without a glare only flaw is that it is not backlit so in order to read in the dark i need a book light i dont mind that so much i just wish kindle would come out with a case for this kindle with a built in book light like they did for the first generation kindle,"['love', 'new', 'kindle', 'size', 'perfect', 'fit', 'right', 'purse', 'easy', 'navigate', 'love', 'touch', 'screen', 'able', 'read', 'outside', 'without', 'glare', 'flaw', 'backlit', 'order', 'read', 'dark', 'need', 'book', 'light', 'dont', 'mind', 'much', 'wish', 'kindle', 'would', 'come', 'case', 'kindle', 'build', 'book', 'light', 'like', 'first', 'generation', 'kindle']",Positive
it would not load my books proper took a dozen tries erasing an dreregistering screen too dark,"['would', 'load', 'book', 'proper', 'take', 'dozen', 'try', 'erase', 'dreregistering', 'screen', 'dark']",Negative
i bought this for my daughter it is our  kindle bought within the family the touchscreen is great and my daughter loves it in fact those of us with older model kindles are jealous,"['buy', 'daughter', 'kindle', 'buy', 'within', 'family', 'touchscreen', 'great', 'daughter', 'love', 'fact', 'u', 'old', 'model', 'kindles', 'jealous']",Positive
this is a pretty cool little device im able to download books through wireless and read them later at my convenience only drawback is i wish it had more storage but for the price it works good,"['pretty', 'cool', 'little', 'device', 'im', 'able', 'download', 'book', 'wireless', 'read', 'later', 'convenience', 'drawback', 'wish', 'storage', 'price', 'work', 'good']",Neutral
exactly what i was looking for size wise and functional,"['exactly', 'look', 'size', 'wise', 'functional']",Positive
as always great job very easy to use and its always with me only problem i have is the button on the bottom is touchy but not really an issue keep up the good work,"['always', 'great', 'job', 'easy', 'use', 'always', 'problem', 'button', 'bottom', 'touchy', 'really', 'issue', 'keep', 'good', 'work']",Positive
i especially like the amazon has a system to convert pdf to kindle format some of the things i read journal articles are in pdf format and i can email them to my kindle email and it shows up on my kindle with kindle format larger text you can find your kindel email at your account information only thing i would have like a screen little larger,"['especially', 'like', 'amazon', 'system', 'convert', 'pdf', 'kindle', 'format', 'thing', 'read', 'journal', 'article', 'pdf', 'format', 'email', 'kindle', 'email', 'show', 'kindle', 'kindle', 'format', 'large', 'text', 'find', 'kindel', 'email', 'account', 'information', 'thing', 'would', 'like', 'screen', 'little', 'large']",Positive
im happy to have it very comfortable and easy to use every where,"['im', 'happy', 'comfortable', 'easy', 'use', 'every']",Positive
this is my eighth kindle some others were either lost or screendamaged i bought it as a spare current model is better looking than earlier versions white case sturdier and has an improved screen great price also wish id bought two,"['eighth', 'kindle', 'others', 'either', 'lose', 'screendamaged', 'bought', 'spare', 'current', 'model', 'well', 'look', 'earlier', 'version', 'white', 'case', 'sturdier', 'improve', 'screen', 'great', 'price', 'also', 'wish', 'id', 'buy', 'two']",Positive
my nephew is going to college next year and we want to give him a gift kindle suits it well for him to learn and study,"['nephew', 'go', 'college', 'next', 'year', 'want', 'give', 'gift', 'kindle', 'suit', 'well', 'learn', 'study']",Positive
excellent lightweight way to take a lot of reading materials along when traveling,"['excellent', 'lightweight', 'way', 'take', 'lot', 'read', 'material', 'along', 'travel']",Positive
i love my kindle im back to reading so much more often as i always have several books with me at all times at first it surprised me that this version doesnt have a back light and you need a light to read but i actually like it now as i dont get the eye strain like i do when using my phone,"['love', 'kindle', 'im', 'back', 'read', 'much', 'often', 'always', 'several', 'book', 'time', 'first', 'surprised', 'version', 'doesnt', 'back', 'light', 'need', 'light', 'read', 'actually', 'like', 'dont', 'get', 'eye', 'strain', 'like', 'use', 'phone']",Positive
i love having real books but these are great for travel and keeping your bookshelves lighter i wish you could buy them with larger storage without having to buy the larger size pad it also sucks that they are  but  is taken up by the os and advertising seriously it reads pdfs and needs a  gig os lame the last thing i would change is being able to reverse the lettering so at night you could have white lettering and a black background so its less bright on the eyes,"['love', 'real', 'book', 'great', 'travel', 'keep', 'bookshelf', 'light', 'wish', 'could', 'buy', 'large', 'storage', 'without', 'buy', 'large', 'size', 'pad', 'also', 'suck', 'take', 'os', 'advertise', 'seriously', 'read', 'pdfs', 'need', 'gig', 'o', 'lame', 'last', 'thing', 'would', 'change', 'able', 'reverse', 'letter', 'night', 'could', 'white', 'letter', 'black', 'background', 'less', 'bright', 'eye']",Neutral
its a perfect gift for young adult during the holiday session,"['perfect', 'gift', 'young', 'adult', 'holiday', 'session']",Positive
the screen is too dark and cannot adjust the brightness,"['screen', 'dark', 'can', 'not', 'adjust', 'brightness']",Negative
i should have purchased a kindle sooner its easy to use and i love it,"['purchase', 'kindle', 'sooner', 'easy', 'use', 'love']",Positive
this was purchased as a gift and theyve absolutely loved it,"['purchase', 'gift', 'theyve', 'absolutely', 'love']",Positive
great gift for anyone very easy to setup coexist with all iot devices alexa is awesome,"['great', 'gift', 'anyone', 'easy', 'setup', 'coexist', 'iot', 'device', 'alexa', 'awesome']",Positive
super excited to give this as a gift its super convenient that best buy has echo products in store instead of having to purchase from amazon,"['super', 'excite', 'give', 'gift', 'super', 'convenient', 'best', 'buy', 'echo', 'product', 'store', 'instead', 'purchase', 'amazon']",Positive
we bought this for mother in law buying another for me,"['buy', 'mother', 'law', 'buying', 'another']",Positive
well designed good sound has everything alexa has plus the hd video always ready with answers with associated video or text if applicable can show movie trailers can also watch amazon video excellent ondemand security video with amazon compatible cameras voice activated message andor video calls to amazon show owners or alexa app holders highly recommended,"['well', 'design', 'good', 'sound', 'everything', 'alexa', 'plus', 'hd', 'video', 'always', 'ready', 'answer', 'associate', 'video', 'text', 'applicable', 'show', 'movie', 'trailer', 'also', 'watch', 'amazon', 'video', 'excellent', 'ondemand', 'security', 'video', 'amazon', 'compatible', 'cameras', 'voice', 'activate', 'message', 'andor', 'video', 'call', 'amazon', 'show', 'owner', 'alexa', 'app', 'holder', 'highly', 'recommend']",Positive
i have one alexa and three echo dots and having echo show now is awesome,"['one', 'alexa', 'three', 'echo', 'dot', 'echo', 'show', 'awesome']",Positive
omg i love my amazon show it is sooo cool and does a lot of cool stuff,"['omg', 'love', 'amazon', 'show', 'sooo', 'cool', 'lot', 'cool', 'stuff']",Positive
great looking design amazon echo show was easy to set up and use,"['great', 'look', 'design', 'amazon', 'echo', 'show', 'easy', 'set', 'use']",Positive
the product is very entertaining and useful would recommend it to anyone,"['product', 'entertain', 'useful', 'would', 'recommend', 'anyone']",Positive
got it for few weeks but it kind of fades away from your life,"['get', 'week', 'kind', 'fade', 'away', 'life']",Positive
this device is awesome ⊘ really lets you get very excited about smart home technology ⊘ i⊙m buying a second one for my upstairs,"['device', 'awesome', '⊘', 'really', 'let', 'get', 'excited', 'smart', 'home', 'technology', '⊘', 'i⊙m', 'buy', 'second', 'one', 'upstairs']",Positive
i purchased this for my daughter and when i tell you she was so happy she hugged the box then me and back to the box,"['purchase', 'daughter', 'tell', 'happy', 'hug', 'box', 'back', 'box']",Positive
overall product is excellent speakers should have a capability to be used as bluetooth speakers like the echo,"['overall', 'product', 'excellent', 'speaker', 'capability', 'use', 'bluetooth', 'speaker', 'like', 'echo']",Positive
